task_1_1_16,0
task_1_1_26,6
task_1_1_46,0
task_1_1_47,0
task_1_1_48,0
task_1_1_55,3
task_1_1_56,1
task_1_1_57,2
task_1_1_99,-120
task_1_1_100,20
task_1_1_145,0
task_1_1_146,0
task_1_1_375,0.64000000000000001
task_1_1_377,-0.54000000000000004
task_1_1_418,-0.5
task_1_1_419,0.5
task_1_1_420,1
task_1_1_421,0.25
task_1_1_431,1
task_1_1_432,0.5
task_1_1_433,3
task_1_1_435,1
task_1_1_438,-2
task_1_1_442,0.25
task_1_1_443,2.3999999999999999
task_1_1_445,-2
task_1_1_446,0.25
task_1_1_451,-0.5
task_1_1_456,0.5
task_1_1_458,0.5
task_1_1_459,-0.25
task_1_1_460,1
task_1_1_462,2
task_1_1_464,-0.25
task_1_1_471,5
task_1_1_472,0
task_1_1_474,0.5
task_1_1_4741,1
task_1_1_475,0.5
task_1_1_476,2
task_1_1_477,4
task_1_1_479,0.5
task_1_1_494,14
task_1_1_496,-24
task_1_1_499,0.25
task_1_1_503,0
task_1_1_504,3
task_1_1_505,0
task_1_1_5061,0.5
task_1_1_5063,1
task_1_1_507,0
task_1_1_508,0
task_1_1_509,0
task_1_1_510,0
task_1_1_511,1
task_1_1_513,1
task_1_1_519,1
task_1_1_530,1
task_1_1_532,0
task_1_1_533,0.20000000000000001
task_1_1_534,-2
task_1_1_535,1.5
task_1_1_536,1.5
task_1_1_540,0
task_1_1_5453,-2
task_1_1_547,1
task_1_1_5661,0.5
task_1_1_5662,0.5
task_1_1_571,0.5
task_1_1_572,-2
task_1_1_5761,1
task_1_1_5762,0.5
task_1_1_5763,1
task_1_1_588,0.5
task_1_1_589,1
task_1_1_591,0
task_1_1_592,0
task_1_1_5932,0.5
task_1_1_5941,-1
task_1_1_5942,1
task_1_1_5961,1
task_1_1_5962,0
task_1_1_5971,0
task_1_1_5972,1
task_1_1_730,1
task_1_1_830,4
task_1_1_1319,1
task_1_1_1320,2
task_1_1_1321,-2
task_1_1_1326,0.5
task_1_1_1327,1
task_1_1_1330,-2
task_1_1_1331,1
task_1_1_1335,1
task_1_1_1336,0
task_1_1_1337,0
task_1_1_1339,0
task_1_1_1340,0
task_1_1_1341,0
task_1_1_1342,1
task_1_1_1343,1
task_1_1_1344,-1
task_1_1_1349,1
task_1_1_1350,1
task_1_1_1351,1
task_1_1_1354,0.5
task_1_1_1355,0.5
task_1_1_1356,0
task_1_1_1357,-0.5
task_1_1_1362,1
task_1_1_13681,0
task_1_1_1400,-0.25
task_1_1_1404,0.5
task_1_1_1405,0
task_1_1_14062,0.5
task_1_1_14063,0.5
